Ratón;Radiacion;Dieta;Área
1;0 Gy;Estándar;0,46
2;0 Gy;Estándar;0,7
3;0 Gy;Estándar;0,3
4;0 Gy;Estándar;0,54
5;0 Gy;Rica en grasas;1,55
6;0 Gy;Rica en grasas;1,4
7;0 Gy;Rica en grasas;0,62
8;0 Gy;Rica en grasas;2,26
9;4 Gy;Estándar;0,48
10;4 Gy;Estándar;0,89
11;4 Gy;Estándar;0,59
12;4 Gy;Estándar;0,65
13;4 Gy;Rica en grasas;4,59
14;4 Gy;Rica en grasas;2,27
15;4 Gy;Rica en grasas;4,22
16;4 Gy;Rica en grasas;2,89
17;8 Gy;Estándar;0,75
18;8 Gy;Estándar;0,5
19;8 Gy;Estándar;0,14
20;8 Gy;Estándar;1,02
21;8 Gy;Rica en grasas;4,79
22;8 Gy;Rica en grasas;8,13
23;8 Gy;Rica en grasas;5,36
24;8 Gy;Rica en grasas;3,88
