"","age","alcohol","tobacco","cancer","patients","heavy"
"1","25-44","0-79","0-19","No",40,"< 80 gm"
"2","25-44","0-79","0-19","Yes",0,"< 80 gm"
"3","25-44","0-79","0-19","No",10,"< 80 gm"
"4","25-44","0-79","0-19","Yes",0,"< 80 gm"
"5","25-44","0-79",">=20","No",6,"< 80 gm"
"6","25-44","0-79",">=20","Yes",0,"< 80 gm"
"7","25-44","0-79",">=20","No",5,"< 80 gm"
"8","25-44","0-79",">=20","Yes",0,"< 80 gm"
"9","25-44","0-79","0-19","No",27,"< 80 gm"
"10","25-44","0-79","0-19","Yes",0,"< 80 gm"
"11","25-44","0-79","0-19","No",7,"< 80 gm"
"12","25-44","0-79","0-19","Yes",0,"< 80 gm"
"13","25-44","0-79",">=20","No",4,"< 80 gm"
"14","25-44","0-79",">=20","Yes",0,"< 80 gm"
"15","25-44","0-79",">=20","No",7,"< 80 gm"
"16","25-44","0-79",">=20","Yes",0,"< 80 gm"
"17","25-44",">=80","0-19","No",2,">= 80 gm"
"18","25-44",">=80","0-19","Yes",0,">= 80 gm"
"19","25-44",">=80","0-19","No",1,">= 80 gm"
"20","25-44",">=80","0-19","Yes",0,">= 80 gm"
"21","25-44",">=80",">=20","No",0,">= 80 gm"
"22","25-44",">=80",">=20","Yes",0,">= 80 gm"
"23","25-44",">=80",">=20","No",2,">= 80 gm"
"24","25-44",">=80",">=20","Yes",0,">= 80 gm"
"25","25-44",">=80","0-19","No",1,">= 80 gm"
"26","25-44",">=80","0-19","Yes",0,">= 80 gm"
"27","25-44",">=80","0-19","No",0,">= 80 gm"
"28","25-44",">=80","0-19","Yes",1,">= 80 gm"
"29","25-44",">=80",">=20","No",1,">= 80 gm"
"30","25-44",">=80",">=20","Yes",0,">= 80 gm"
"31","25-44",">=80",">=20","No",2,">= 80 gm"
"32","25-44",">=80",">=20","Yes",0,">= 80 gm"
"33","25-44","0-79","0-19","No",60,"< 80 gm"
"34","25-44","0-79","0-19","Yes",0,"< 80 gm"
"35","25-44","0-79","0-19","No",13,"< 80 gm"
"36","25-44","0-79","0-19","Yes",1,"< 80 gm"
"37","25-44","0-79",">=20","No",7,"< 80 gm"
"38","25-44","0-79",">=20","Yes",0,"< 80 gm"
"39","25-44","0-79",">=20","No",8,"< 80 gm"
"40","25-44","0-79",">=20","Yes",0,"< 80 gm"
"41","25-44","0-79","0-19","No",35,"< 80 gm"
"42","25-44","0-79","0-19","Yes",0,"< 80 gm"
"43","25-44","0-79","0-19","No",20,"< 80 gm"
"44","25-44","0-79","0-19","Yes",3,"< 80 gm"
"45","25-44","0-79",">=20","No",13,"< 80 gm"
"46","25-44","0-79",">=20","Yes",1,"< 80 gm"
"47","25-44","0-79",">=20","No",8,"< 80 gm"
"48","25-44","0-79",">=20","Yes",0,"< 80 gm"
"49","25-44",">=80","0-19","No",11,">= 80 gm"
"50","25-44",">=80","0-19","Yes",0,">= 80 gm"
"51","25-44",">=80","0-19","No",6,">= 80 gm"
"52","25-44",">=80","0-19","Yes",0,">= 80 gm"
"53","25-44",">=80",">=20","No",2,">= 80 gm"
"54","25-44",">=80",">=20","Yes",0,">= 80 gm"
"55","25-44",">=80",">=20","No",1,">= 80 gm"
"56","25-44",">=80",">=20","Yes",0,">= 80 gm"
"57","25-44",">=80","0-19","No",1,">= 80 gm"
"58","25-44",">=80","0-19","Yes",2,">= 80 gm"
"59","25-44",">=80","0-19","No",3,">= 80 gm"
"60","25-44",">=80","0-19","Yes",0,">= 80 gm"
"61","25-44",">=80",">=20","No",2,">= 80 gm"
"62","25-44",">=80",">=20","Yes",2,">= 80 gm"
"63","25-44",">=80",">=20","No",0,">= 80 gm"
"64","25-44",">=80",">=20","Yes",0,">= 80 gm"
"65","45-64","0-79","0-19","No",45,"< 80 gm"
"66","45-64","0-79","0-19","Yes",1,"< 80 gm"
"67","45-64","0-79","0-19","No",18,"< 80 gm"
"68","45-64","0-79","0-19","Yes",0,"< 80 gm"
"69","45-64","0-79",">=20","No",10,"< 80 gm"
"70","45-64","0-79",">=20","Yes",0,"< 80 gm"
"71","45-64","0-79",">=20","No",4,"< 80 gm"
"72","45-64","0-79",">=20","Yes",0,"< 80 gm"
"73","45-64","0-79","0-19","No",32,"< 80 gm"
"74","45-64","0-79","0-19","Yes",6,"< 80 gm"
"75","45-64","0-79","0-19","No",17,"< 80 gm"
"76","45-64","0-79","0-19","Yes",4,"< 80 gm"
"77","45-64","0-79",">=20","No",10,"< 80 gm"
"78","45-64","0-79",">=20","Yes",5,"< 80 gm"
"79","45-64","0-79",">=20","No",2,"< 80 gm"
"80","45-64","0-79",">=20","Yes",5,"< 80 gm"
"81","45-64",">=80","0-19","No",13,">= 80 gm"
"82","45-64",">=80","0-19","Yes",3,">= 80 gm"
"83","45-64",">=80","0-19","No",8,">= 80 gm"
"84","45-64",">=80","0-19","Yes",6,">= 80 gm"
"85","45-64",">=80",">=20","No",4,">= 80 gm"
"86","45-64",">=80",">=20","Yes",1,">= 80 gm"
"87","45-64",">=80",">=20","No",2,">= 80 gm"
"88","45-64",">=80",">=20","Yes",2,">= 80 gm"
